Id,Label,timeset
0,Beak,
1,Beescratch,
2,Bumper,
3,CCL,
4,Cross,
5,DN16,
6,DN21,
7,DN63,
8,Double,
9,Feather,
10,Fish,
11,Five,
12,Fork,
13,Gallatin,
14,Grin,
15,Haecksel,
16,Hook,
17,Jet,
18,Jonah,
19,Knit,
20,Kringel,
21,MN105,
22,MN23,
23,MN60,
24,MN83,
25,Mus,
26,Notch,
27,Number1,
28,Oscar,
29,Patchback,
30,PL,
31,Quasi,
32,Ripplefluke,
33,Scabs,
34,Shmuddel,
35,SMN5,
36,SN100,
37,SN4,
38,SN63,
39,SN89,
40,SN9,
41,SN90,
42,SN96,
43,Stripes,
44,Thumper,
45,Topless,
46,TR120,
47,TR77,
48,TR82,
49,TR88,
50,TR99,
51,Trigger,
52,TSN103,
53,TSN83,
54,Upbang,
55,Vau,
56,Wave,
57,Web,
58,Whitetip,
59,Zap,
60,Zig,
61,Zipfel,
